"","name","mass","hd","hip","teff","ra","dec","min_time","max_time","time_span","rms","nsets","ndata","telescopes","fn"
"1","11 Com",2.7,"HD 107383","HIP 60202",4742,185.179276,17.792868,2453002.2791,2454143.2374,1140.95830000006,159.84,2,46,"16M, 88M","11Com.sys"
"2","11 UMi",1.8,"HD 136726","HIP 74793",4340,229.274536,71.823898,2453051.708713,2454338.545262,1286.83654899988,137.29,1,58,"JENSCH","11UMi.sys"
"3","14 And",2.2,"HD 221345","HIP 116076",4813,352.822571,39.236198,2453005.9546,2454491.8965,1485.94189999998,71.82,1,34,"88M","14And.sys"
"4","14 Her",0.9,"HD 145675","HIP 79248",5311,242.601303,43.817646,2449464.5956,2453927.75413,4463.15852999967,66.34,3,203,"KECK, ELODIE, HJS","14Her.sys"
"5","16 Cyg B",0.99,"HD 186427","HIP 96901",5674,295.466553,50.517525,2446957.926,2453927.90889,6969.9828900001,87.95,3,574,"LICK, HJS, HJS","16CygB.sys"
"6","18 Del",2.3,"HD 199665","HIP 103527",4979,314.608063,10.839286,2452489.1422,2454261.2661,1772.12390000001,81.87,1,51,"88M","18Del.sys"
"7","24 Sex",1.54,"HD 90043","HIP 50887",5098,155.86821,-0.902244,2453405.936,2455312.791,1906.85499999998,33.89,2,74,"LICK, KECK","24Sex.sys"
"8","30 Ari B",1.16,"HD 16232","HIP 12184",6300,39.240585,24.648064,2452545.536478,2454758.610225,2213.07374699973,231.02,1,98,"TAUTENBERG","30AriB.sys"
"9","42 Dra",0.98,"HD 170693","HIP 90344",4200,276.496399,65.563484,2453128.419501,2454337.334089,1208.91458799969,93.83,1,45,"JENSCH","42Dra.sys"
"10","47 UMa",1.03,"HD 95128","HIP 53721",5892,164.866562,40.430256,2446959.737,2454632.71638,7672.97937999992,34.8,4,255,"HJS, HET, ELODIE, LICK","47UMa.sys"
"11","51 Peg",1.12,"HD 217014","HIP 113357",5793,344.366577,20.768833,2449610.5268,2452887.5339,3277.00710000005,40.86,2,409,"LICK, ELODIE","51Peg.sys"
"12","55 Cnc",0.91,"HD 75732","HIP 43587",5196,133.149216,28.330818,2447578.73,2454255.737,6677.00700000022,60.58,4,487,"LICK, KECK, ELODIE, HET","55Cnc.sys"
"13","61 Vir",0.94,"HD 115617","HIP 64924",5577,199.601318,-18.311195,2444655.009,2455058.8914,10403.8824,11.3,3,232,"KECK, AAT, CFHT","61Vir.sys"
"14","6 Lyn",1.7,"HD 45410","HIP 31039",4978,97.696281,58.162632,2453028.2002,2454556.984,1528.78380000032,28.9,1,30,"88M","6Lyn.sys"
"15","70 Vir",1.11,"HD 117176","HIP 65721",5545,202.107544,13.778788,2447195.027622,2452776.4905,5581.46287799999,210.08,2,109,"LICK, ELODIE","70Vir.sys"
"16","75 Cet",2.49,"HD 15779","HIP 11791",4846,38.039253,-1.034896,2452311.964,2455920.00604,3608.04203999974,28.41,1,74,"OAO","75Cet.sys"
"17","7 CMa",1.52,"HD 47205","HIP 31592",4792,99.17099,-19.255878,2454866.098,2455783.31112,917.213119999971,29.09,1,21,"AAT","7CMa.sys"
"18","81 Cet",2.4,"HD 16400","HIP 12247",4785,39.424168,-3.396175,2452888.2622,2454526.9147,1638.65249999985,47.47,1,33,"88M","81Cet.sys"
"19","BD+14 4559",0.86,NA,"HIP 104780",5008,318.399963,14.689387,2453546.31624,2454811.05137,1264.73512999993,38.84,1,43,"HET","BD+144559.sys"
